County,Percent_Insured
Albany,96.9
Allegany,93.4
Bronx,91.4
Broome,95.8
Cattaraugus,93.1
Cayuga,94.9
Chautauqua,94.6
Chemung,95.7
Chenango,95.7
Clinton,96.1
Columbia,95.4
Cortland,96.8
Delaware,94.9
Dutchess,95.3
Erie,96.8
Essex,96.4
Franklin,94.9
Fulton,95.2
Genesee,96.5
Greene,95.8
Hamilton,93.9
Herkimer,95.0
Jefferson,94.7
Kings,92.7
Lewis,94.5
Livingston,96.8
Madison,95.6
Manhattan,94.8
Monroe,96.7
Montgomery,93.7
Nassau,95.6
Niagara,96.7
Oneida,96.0
Onondaga,96.3
Ontario,96.7
Orange,95.2
Orleans,94.9
Oswego,95.4
Otsego,95.2
Putnam,96.3
Queens,90.5
Rensselaer,96.3
Richmond,95.7
Rockland,94.4
Saratoga,96.7
Schenectady,95.8
Schoharie,96.2
Schuyler,94.5
Seneca,91.7
St. Lawrence,94.0
Steuben,94.5
Suffolk,95.3
Sullivan,94.4
Tioga,95.8
Tompkins,96.6
Ulster,94.6
Warren,96.1
Washington,94.5
Wayne,95.8
Westchester,94.2
Wyoming,95.8
Yates,82.4
