County,median_income
Albany,56090
Allegany,41305
Bronx,34264
Broome,44457
Cattaraugus,42466
Cayuga,48415
Chautauqua,40639
Chemung,44502
Chenango,43943
Clinton,47489
Columbia,55546
Cortland,45338
Delaware,42967
Dutchess,69838
Erie,47372
Essex,45216
Franklin,42050
Fulton,43240
Genesee,49750
Greene,46235
Hamilton,49557
Herkimer,42318
Jefferson,43410
Kings,43567
Lewis,42846
Livingston,51690
Madison,53345
Manhattan,64971
Monroe,51303
Montgomery,42603
Nassau,93613
Niagara,45964
Oneida,46708
Onondaga,50676
Ontario,56468
Orange,69523
Orleans,48063
Oswego,45333
Otsego,45268
Putnam,89218
Queens,55291
Rensselaer,54152
Richmond,71084
Rockland,82534
Saratoga,65100
Schenectady,55188
Schoharie,50864
Schuyler,47404
Seneca,46707
St. Lawrence,42303
Steuben,43867
Suffolk,84506
Sullivan,48103
Tioga,51948
Tompkins,48655
Ulster,57584
Warren,51619
Washington,48327
Wayne,52562
Westchester,79619
Wyoming,50075
Yates,46822
